,id_exercicio,id_atividade,id_zona_speed,lowerLimit,higherLimit,zoneIndex
0,2.0,2.0,1.0,3.0,7.0,1.0
1,2.0,2.0,2.0,7.0,11.0,2.0
2,2.0,2.0,3.0,11.0,15.0,3.0
3,2.0,2.0,4.0,15.0,19.0,4.0
4,2.0,2.0,5.0,19.0,399.0,5.0
5,5.0,5.0,6.0,3.0,7.0,1.0
6,5.0,5.0,7.0,7.0,11.0,2.0
7,5.0,5.0,8.0,11.0,15.0,3.0
8,5.0,5.0,9.0,15.0,19.0,4.0
9,5.0,5.0,10.0,19.0,399.0,5.0
10,10.0,10.0,11.0,3.0,7.0,1.0
11,10.0,10.0,12.0,7.0,11.0,2.0
12,10.0,10.0,13.0,11.0,15.0,3.0
13,10.0,10.0,14.0,15.0,19.0,4.0
14,10.0,10.0,15.0,19.0,399.0,5.0
15,13.0,13.0,16.0,3.0,7.0,1.0
16,13.0,13.0,17.0,7.0,11.0,2.0
17,13.0,13.0,18.0,11.0,15.0,3.0
18,13.0,13.0,19.0,15.0,19.0,4.0
19,13.0,13.0,20.0,19.0,399.0,5.0
20,38.0,38.0,21.0,3.0,7.0,1.0
21,38.0,38.0,22.0,7.0,11.0,2.0
22,38.0,38.0,23.0,11.0,15.0,3.0
23,38.0,38.0,24.0,15.0,19.0,4.0
24,38.0,38.0,25.0,19.0,399.0,5.0
25,44.0,44.0,26.0,3.0,7.0,1.0
26,44.0,44.0,27.0,7.0,11.0,2.0
27,44.0,44.0,28.0,11.0,15.0,3.0
28,44.0,44.0,29.0,15.0,19.0,4.0
29,44.0,44.0,30.0,19.0,399.0,5.0
30,52.0,52.0,31.0,3.0,7.0,1.0
31,52.0,52.0,32.0,7.0,11.0,2.0
32,52.0,52.0,33.0,11.0,15.0,3.0
33,52.0,52.0,34.0,15.0,19.0,4.0
34,52.0,52.0,35.0,19.0,399.0,5.0
35,58.0,58.0,36.0,3.0,7.0,1.0
36,58.0,58.0,37.0,7.0,11.0,2.0
37,58.0,58.0,38.0,11.0,15.0,3.0
38,58.0,58.0,39.0,15.0,19.0,4.0
39,58.0,58.0,40.0,19.0,399.0,5.0
40,66.0,66.0,41.0,3.0,7.0,1.0
41,66.0,66.0,42.0,7.0,11.0,2.0
42,66.0,66.0,43.0,11.0,15.0,3.0
43,66.0,66.0,44.0,15.0,19.0,4.0
44,66.0,66.0,45.0,19.0,399.0,5.0
45,74.0,74.0,46.0,3.0,7.0,1.0
46,74.0,74.0,47.0,7.0,11.0,2.0
47,74.0,74.0,48.0,11.0,15.0,3.0
48,74.0,74.0,49.0,15.0,19.0,4.0
49,74.0,74.0,50.0,19.0,399.0,5.0
50,75.0,75.0,51.0,3.0,7.0,1.0
51,75.0,75.0,52.0,7.0,11.0,2.0
52,75.0,75.0,53.0,11.0,15.0,3.0
53,75.0,75.0,54.0,15.0,19.0,4.0
54,75.0,75.0,55.0,19.0,399.0,5.0
55,76.0,76.0,56.0,3.0,7.0,1.0
56,76.0,76.0,57.0,7.0,11.0,2.0
57,76.0,76.0,58.0,11.0,15.0,3.0
58,76.0,76.0,59.0,15.0,19.0,4.0
59,76.0,76.0,60.0,19.0,399.0,5.0
60,77.0,77.0,61.0,3.0,7.0,1.0
61,77.0,77.0,62.0,7.0,11.0,2.0
62,77.0,77.0,63.0,11.0,15.0,3.0
63,77.0,77.0,64.0,15.0,19.0,4.0
64,77.0,77.0,65.0,19.0,399.0,5.0
65,80.0,80.0,66.0,10.0,20.0,1.0
66,80.0,80.0,67.0,20.0,30.0,2.0
67,80.0,80.0,68.0,30.0,40.0,3.0
68,80.0,80.0,69.0,40.0,50.0,4.0
69,80.0,80.0,70.0,50.0,399.0,5.0
70,82.0,82.0,71.0,10.0,20.0,1.0
71,82.0,82.0,72.0,20.0,30.0,2.0
72,82.0,82.0,73.0,30.0,40.0,3.0
73,82.0,82.0,74.0,40.0,50.0,4.0
74,82.0,82.0,75.0,50.0,399.0,5.0
75,83.0,83.0,76.0,10.0,20.0,1.0
76,83.0,83.0,77.0,20.0,30.0,2.0
77,83.0,83.0,78.0,30.0,40.0,3.0
78,83.0,83.0,79.0,40.0,50.0,4.0
79,83.0,83.0,80.0,50.0,399.0,5.0
80,89.0,89.0,81.0,10.0,20.0,1.0
81,89.0,89.0,82.0,20.0,30.0,2.0
82,89.0,89.0,83.0,30.0,40.0,3.0
83,89.0,89.0,84.0,40.0,50.0,4.0
84,89.0,89.0,85.0,50.0,399.0,5.0
85,104.0,104.0,86.0,3.0,7.0,1.0
86,104.0,104.0,87.0,7.0,11.0,2.0
87,104.0,104.0,88.0,11.0,15.0,3.0
88,104.0,104.0,89.0,15.0,19.0,4.0
89,104.0,104.0,90.0,19.0,399.0,5.0
90,105.0,105.0,91.0,3.0,7.0,1.0
91,105.0,105.0,92.0,7.0,11.0,2.0
92,105.0,105.0,93.0,11.0,15.0,3.0
93,105.0,105.0,94.0,15.0,19.0,4.0
94,105.0,105.0,95.0,19.0,399.0,5.0
95,116.0,116.0,96.0,10.0,20.0,1.0
96,116.0,116.0,97.0,20.0,30.0,2.0
97,116.0,116.0,98.0,30.0,40.0,3.0
98,116.0,116.0,99.0,40.0,50.0,4.0
99,116.0,116.0,100.0,50.0,399.0,5.0
100,123.0,123.0,101.0,10.0,20.0,1.0
101,123.0,123.0,102.0,20.0,30.0,2.0
102,123.0,123.0,103.0,30.0,40.0,3.0
103,123.0,123.0,104.0,40.0,50.0,4.0
104,123.0,123.0,105.0,50.0,399.0,5.0
105,126.0,126.0,106.0,10.0,20.0,1.0
106,126.0,126.0,107.0,20.0,30.0,2.0
107,126.0,126.0,108.0,30.0,40.0,3.0
108,126.0,126.0,109.0,40.0,50.0,4.0
109,126.0,126.0,110.0,50.0,399.0,5.0
110,127.0,127.0,111.0,3.0,7.0,1.0
111,127.0,127.0,112.0,7.0,11.0,2.0
112,127.0,127.0,113.0,11.0,15.0,3.0
113,127.0,127.0,114.0,15.0,19.0,4.0
114,127.0,127.0,115.0,19.0,399.0,5.0
115,137.0,137.0,116.0,3.0,7.0,1.0
116,137.0,137.0,117.0,7.0,11.0,2.0
117,137.0,137.0,118.0,11.0,15.0,3.0
118,137.0,137.0,119.0,15.0,19.0,4.0
119,137.0,137.0,120.0,19.0,399.0,5.0
120,142.0,142.0,121.0,3.0,7.0,1.0
121,142.0,142.0,122.0,7.0,11.0,2.0
122,142.0,142.0,123.0,11.0,15.0,3.0
123,142.0,142.0,124.0,15.0,19.0,4.0
124,142.0,142.0,125.0,19.0,399.0,5.0
